,count,mean,std,min,25%,50%,75%,max
max_force,30.0,405.1184425354004,557.0426715168065,56.3201370239258,97.71479034423832,225.229393005371,311.49401092529297,1813.689453125
maxstrain,30.0,0.015917687144518137,0.0086138578114487,0.0046555994777008,0.00974825437879185,0.0132927059894428,0.022431797697208825,0.0329471309669316
modulo_young,17.0,1621.307387195085,938.8970136116566,282.6715183428491,371.2158976737645,2105.2,2246.6,2792.4
maxstrainext,30.0,0.13710335513557462,0.11986331551084463,0.0021585078502539,0.0085394676716532,0.1468245778232812,0.23367073386907572,0.408405214548112
length,0.0,,,,,,,
thickness,0.0,,,,,,,
width,0.0,,,,,,,
transverse_area,0.0,,,,,,,
