,count,mean,std,min,25%,50%,75%,max
unnamed:_0,23376.0,596.1735540725531,495.59989179176125,0.0,221.0,480.0,820.25,2408.0
axial_force,23376.0,149.69791247434188,288.9541896590084,-14.1369533538818,30.12845373153685,63.934064865112305,148.8892250061035,1813.689453125
axial_displacement,23376.0,1.0033941234380792,0.7857535412319518,-0.0151135773194255,0.38418264011852477,0.79889950575307,1.4360636705532699,3.29471309669316
time,23376.0,49.73413313618268,35.93572747584613,1.140625,21.0777587890625,43.892822265625,68.4854736328125,170.49853515625
axial_displacement_error,23376.0,-0.025706975750480938,0.051753949430686896,-0.114444199425634,-0.0721779779269127,-0.038003787267371095,0.014556441556123925,0.0861072549014352
axial_634.12f,23376.0,0.9669581905097191,1.6577174830991925,-3.14103183336556,0.04982121663488215,0.1288589774048885,1.6401452885475025,10.2101303637028
strain_[mm/mm],23376.0,0.009367991202813043,0.007469851305069032,-0.0001984093017368,0.003757841376587725,0.00761628841921205,0.01267281626680435,0.0358120988770995
stress[mpa],23376.0,4.930274297590681,7.591075559282205,-0.5437289751493,1.1583313575157759,2.4520686222956734,5.707479183490461,46.5048577724359
strainext[mm/mm],23376.0,0.03867832762038875,0.06630869932396771,-0.1256412733346224,0.001992848665395275,0.0051543590961955,0.0656058115419001,0.408405214548112
raw_data,2850.0,733.2336842105263,446.201361995044,0.0,356.0,712.0,1068.0,1670.0
