,Missing,Pct
raw_data,23378,89.13375019063596
unnamed:_7,23376,89.12612475217325
unnamed:_8,23376,89.12612475217325
unnamed:_3,23376,89.12612475217325
unnamed:_6,23376,89.12612475217325
unnamed:_5,23376,89.12612475217325
unnamed:_4,23376,89.12612475217325
unnamed:_1,23376,89.12612475217325
unnamed:_2,23376,89.12612475217325
unnamed:_0,2852,10.873875247826751
axial_force,2852,10.873875247826751
strainext[mm/mm],2852,10.873875247826751
strain_[mm/mm],2852,10.873875247826751
stress[mpa],2852,10.873875247826751
time,2852,10.873875247826751
axial_displacement_error,2852,10.873875247826751
axial_displacement,2852,10.873875247826751
axial_634.12f,2852,10.873875247826751
