Model,Test_MAE,Test_RMSE,Test_R2,Test_MAPE
LinearRegression,3.4131244350199097,4.262679890778461,0.7816315364589945,22.140725077263802
Lasso,3.567153730244128,4.265576539014775,0.7813346567697,30.75391347389368
Ridge,3.416404663670048,4.433783993170487,0.7637490626355626,21.078467517276476
ElasticNet,3.749591009749711,4.635332139360643,0.7417821891336412,34.91475423976316
RandomForestRegressor,3.761,4.684411382447106,0.7362851820694628,36.078502685490726
GradientBoostingRegressor,3.560755287379256,5.000904645699757,0.699446613683675,30.49910891044733
DummyRegressor,8.5,9.175054912809035,-0.011676873609676841,83.31965879880215
